name,reg_no,cgpa
Marie,REG061966,7.42
Mathias,REG061967,2.84
Emerson,REG061968,2.89
Isabell,REG061969,4.69
Meyer,REG061970,1.87
Davis,REG061971,2.84
Katharyn,REG061972,1.73
Librada,REG061973,2.00
Ned,REG061974,3.37
Rosetta,REG061975,3.97
Leota,REG061976,3.94
Israel,REG061977,2.78
Denis,REG061978,2.12
Evie,REG061979,4.16
Sammie,REG061980,3.53
Fedora,REG061981,1.73
Vern,REG061982,3.58
Ica,REG061983,1.73
Epifanio,REG061984,1.87
Lyle,REG061985,3.34
Donnie,REG061986,3.06
Eve,REG061987,4.18
Malachi,REG061988,2.12
Libby,REG061989,2.12
Garfield,REG061990,3.37
Marko,REG061991,1.73
Israel,REG061992,2.78
Bryant,REG061993,2.67
Sheridan,REG061994,1.87
Terry,REG061995,3.21
Jonas,REG061996,2.54
Linnie,REG061997,3.60
Gwendolyn,REG061998,3.91
Lillar,REG061999,2.00
Rosalia,REG062000,2.31
Milo,REG062001,3.34
Lella,REG062002,1.73
America,REG062003,2.73
Phoebe,REG062004,4.21
Celestine,REG062005,3.60
Naomi,REG062006,5.37
Ancil,REG062007,2.00
Gayle,REG062008,2.12
Francisca,REG062009,2.00
Cressie,REG062010,1.87
Eddie,REG062011,3.77
Callie,REG062012,5.16
Manley,REG062013,2.22
Carol,REG062014,4.01
Crystal,REG062015,2.39
Emelie,REG062016,2.39
Judith,REG062017,1.73
Conrad,REG062018,3.64
Arabella,REG062019,1.87
Cassius,REG062020,1.87
Willia,REG062021,1.73
Pairlee,REG062022,2.22
Hellen,REG062023,2.73
Eloy,REG062024,2.12
Jule,REG062025,2.22
Emma,REG062026,2.22
Nena,REG062027,2.73
Beverly,REG062028,2.22
Mandie,REG062029,2.00
Moody,REG062030,1.73
Lilly,REG062031,4.66
Rilla,REG062032,3.69
Ramona,REG062033,3.84
Marge,REG062034,3.53
Leilah,REG062035,1.87
Georgeanna,REG062036,2.12
Lilian,REG062037,3.40
Ader,REG062038,1.73
Marcellus,REG062039,1.73
Carter,REG062040,2.54
Joel,REG062041,3.50
Dan,REG062042,4.66
Isreal,REG062043,2.00
Leola,REG062044,3.81
Texana,REG062045,1.73
Nan,REG062046,3.69
Alvis,REG062047,2.54
Urban,REG062048,2.39
Gilma,REG062049,1.73
Philomena,REG062050,3.73
Columbus,REG062051,3.89
Kathryn,REG062052,6.71
Penelope,REG062053,1.87
Flossie,REG062054,5.50
Blanche,REG062055,6.60
Nathanial,REG062056,2.00
Connie,REG062057,3.58
Persis,REG062058,1.73
General,REG062059,2.67
Felix,REG062060,4.37
Sevilla,REG062061,1.73
Laurence,REG062062,3.10
Clella,REG062063,2.12
Florine,REG062064,3.45
Barbara,REG062065,4.70
Josh,REG062066,3.21
Josie,REG062067,5.19
Mellie,REG062068,2.89
Mimia,REG062069,1.73
Glenna,REG062070,2.73
Willian,REG062071,2.00
Mckinley,REG062072,3.42
Garfield,REG062073,3.17
Tempie,REG062074,2.22
Mariam,REG062075,1.73
Arthur,REG062076,1.73
Dorothea,REG062077,4.74
Marcel,REG062078,2.00
Ray,REG062079,3.31
Harvie,REG062080,1.73
Gregory,REG062081,2.61
Stanley,REG062082,2.00
Ronald,REG062083,1.87
Evalena,REG062084,2.39
Willa,REG062085,3.45
Clifton,REG062086,4.52
Judge,REG062087,3.02
Carole,REG062088,1.73
Jacob,REG062089,5.47
Preston,REG062090,4.55
Lincoln,REG062091,2.12
Lora,REG062092,5.30
Ester,REG062093,4.29
Ethelyn,REG062094,2.93
Cloyd,REG062095,2.00
Tandy,REG062096,1.87
Christian,REG062097,3.40
Merrell,REG062098,1.73
Carlotta,REG062099,2.47
Gretta,REG062100,1.87
Jefferson,REG062101,3.42
Alvie,REG062102,2.61
Robbie,REG062103,2.00
Cecilia,REG062104,5.27
Basil,REG062105,3.50
Cecille,REG062106,2.00
Frank,REG062107,2.78
Isom,REG062108,1.87
Arlie,REG062109,2.89
Freeman,REG062110,3.42
Alvena,REG062111,2.61
Junious,REG062112,2.00
Adline,REG062113,1.73
Madie,REG062114,3.67
Bertha,REG062115,2.47
Adell,REG062116,2.54
Sylvania,REG062117,1.87
Lassie,REG062118,1.87
Jeff,REG062119,3.67
Margo,REG062120,1.87
Earl,REG062121,2.31
Bobbie,REG062122,2.22
Richmond,REG062123,2.93
Jeane,REG062124,2.89
Odessie,REG062125,1.73
Vernon,REG062126,2.00
Marina,REG062127,1.73
Olive,REG062128,6.24
Bonnie,REG062129,2.39
Raleigh,REG062130,2.31
Francine,REG062131,2.61
Forest,REG062132,3.82
Benson,REG062133,1.73
Alyce,REG062134,2.00
Mike,REG062135,4.27
Reita,REG062136,2.00
Miley,REG062137,1.73
Macy,REG062138,2.00
Perlie,REG062139,2.00
Margaretta,REG062140,2.98
Zelphia,REG062141,1.73
Alma,REG062142,2.47
Clella,REG062143,2.39
Edythe,REG062144,4.61
Jess,REG062145,4.52
Carrie,REG062146,6.60
Hugo,REG062147,3.64
Dinah,REG062148,3.10
Ardella,REG062149,2.84
Emmett,REG062150,4.48
Eulah,REG062151,3.34
Cannie,REG062152,1.73
Villa,REG062153,2.22
Murray,REG062154,3.40
Dixie,REG062155,1.87
Veatrice,REG062156,2.47
Gemma,REG062157,1.73
Wellington,REG062158,1.87
Emelie,REG062159,1.87
Ottie,REG062160,2.12
Dallas,REG062161,3.14
Sanford,REG062162,3.02
Millard,REG062163,3.89
Kizzie,REG062164,2.54
Adrienne,REG062165,2.00
Elvia,REG062166,2.12
Hoke,REG062167,2.00
Ether,REG062168,2.84
Audie,REG062169,1.73
Merle,REG062170,3.10
Evert,REG062171,1.87
Vivian,REG062172,3.40
Sammie,REG062173,1.87
Albena,REG062174,1.73
Oswald,REG062175,2.39
Waneta,REG062176,2.00
Frederick,REG062177,5.91
Vance,REG062178,2.84
Alf,REG062179,1.87
America,REG062180,2.39
Signa,REG062181,2.00
Mansfield,REG062182,1.73
Melanie,REG062183,2.00
Burton,REG062184,3.28
Novella,REG062185,4.15
Melissa,REG062186,3.60
Juliann,REG062187,1.87
Dollie,REG062188,5.01
Elsa,REG062189,4.62
Raphael,REG062190,2.22
Orin,REG062191,2.73
Petra,REG062192,4.01
Luz,REG062193,2.89
Earley,REG062194,1.87
Pansy,REG062195,3.64
Chattie,REG062196,1.73
Ardella,REG062197,2.98
Bee,REG062198,2.31
Claude,REG062199,5.71
Harris,REG062200,3.17
Sol,REG062201,3.17
Evia,REG062202,2.12
Florence,REG062203,2.54
Susanna,REG062204,3.75
Vallie,REG062205,3.53
William,REG062206,3.58
Arden,REG062207,1.73
Swannie,REG062208,2.31
Tina,REG062209,3.89
Junior,REG062210,2.22
Fay,REG062211,2.67
Nelia,REG062212,2.78
Angus,REG062213,2.67
Tiny,REG062214,2.00
Francie,REG062215,1.73
Ed,REG062216,5.23
Nanie,REG062217,2.12
Tom,REG062218,5.73
Karl,REG062219,3.28
Antonina,REG062220,2.22
Reuben,REG062221,4.15
Emma,REG062222,7.70
Tomasa,REG062223,2.31
Manie,REG062224,2.12
Coley,REG062225,2.00
Benjaman,REG062226,3.06
Dewey,REG062227,4.75
Drusilla,REG062228,3.17
Hermina,REG062229,2.31
Elvira,REG062230,4.73
Domenick,REG062231,2.54
Ethlyn,REG062232,2.39
Kid,REG062233,1.73
Merl,REG062234,2.12
Florida,REG062235,3.64
Alzada,REG062236,1.73
Ila,REG062237,4.13
Kizzie,REG062238,2.54
Zera,REG062239,2.00
Christie,REG062240,2.54
Candida,REG062241,1.73
Rossie,REG062242,1.73
Edison,REG062243,2.54
Aimee,REG062244,2.73
Edd,REG062245,3.50
Mable,REG062246,6.11
Eugenia,REG062247,4.75
Dempsey,REG062248,2.12
Lottie,REG062249,6.13
Monie,REG062250,1.73
Hoyt,REG062251,2.54
Emmaline,REG062252,1.73
Darrell,REG062253,3.28
Watson,REG062254,2.47
Dortha,REG062255,3.79
Isabel,REG062256,5.35
Nonie,REG062257,2.98
Rosebud,REG062258,2.12
Leopold,REG062259,2.00
Mathias,REG062260,2.22
Adelle,REG062261,3.10
Zed,REG062262,2.00
Lulie,REG062263,1.73
Arvid,REG062264,2.12
Giles,REG062265,2.67
Dayton,REG062266,2.00
Adrian,REG062267,2.73
Garnett,REG062268,2.31
Luke,REG062269,3.79
Coy,REG062270,2.47
Louie,REG062271,3.06
Pattie,REG062272,2.93
Melton,REG062273,2.22
Dallas,REG062274,2.22
Pearl,REG062275,7.21
Frona,REG062276,2.89
Jasper,REG062277,4.16
Asa,REG062278,3.73
Ellie,REG062279,1.87
Orma,REG062280,1.73
Dennis,REG062281,4.73
Jeremiah,REG062282,3.28
Lara,REG062283,1.73
Omar,REG062284,2.31
Arnetta,REG062285,2.00
Elmore,REG062286,2.31
Kittie,REG062287,3.02
Lattie,REG062288,2.61
Wendell,REG062289,3.06
Rosalie,REG062290,4.28
Fronie,REG062291,2.61
Erline,REG062292,1.73
Josephine,REG062293,7.19
Vernie,REG062294,2.39
Dortha,REG062295,2.00
Alvena,REG062296,2.67
Jennett,REG062297,2.00
Carroll,REG062298,3.97
Cleta,REG062299,2.31
Theron,REG062300,1.87
Taylor,REG062301,2.93
Delmer,REG062302,2.93
Luetta,REG062303,2.54
Dorotha,REG062304,3.24
Shelly,REG062305,1.73
Madalyn,REG062306,1.73
Georgia,REG062307,6.45
Zeb,REG062308,1.73
Dessa,REG062309,2.39
Toni,REG062310,2.12
Thirza,REG062311,1.73
Vertie,REG062312,2.67
Foy,REG062313,1.87
Llewellyn,REG062314,2.78
Beatrice,REG062315,7.00
Sadie,REG062316,5.69
Odell,REG062317,2.73
Joan,REG062318,2.67
Delpha,REG062319,1.87
Dominick,REG062320,2.67
Babette,REG062321,1.73
Arlena,REG062322,1.87
Miranda,REG062323,1.87
Jorge,REG062324,2.22
Hubbard,REG062325,1.73
Lewis,REG062326,5.86
Walker,REG062327,3.24
Macie,REG062328,3.48
Luther,REG062329,5.32
Eola,REG062330,2.31
Dossie,REG062331,1.73
Marietta,REG062332,3.28
Alta,REG062333,4.86
Judy,REG062334,1.73
Retta,REG062335,3.02
Johnny,REG062336,2.00
Gaston,REG062337,2.12
Myrl,REG062338,1.87
Delphia,REG062339,3.21
Dee,REG062340,2.93
Brown,REG062341,1.87
Zelia,REG062342,2.31
Benny,REG062343,1.73
Hilliard,REG062344,1.87
Winnifred,REG062345,2.12
Sampson,REG062346,2.47
Arabella,REG062347,2.22
Pollie,REG062348,2.47
Tennessee,REG062349,2.22
Charlie,REG062350,6.33
Nan,REG062351,3.24
Albertina,REG062352,2.31
Olive,REG062353,6.23
Evalena,REG062354,2.39
Letitia,REG062355,3.14
Gracy,REG062356,1.73
Leonard,REG062357,5.41
Corine,REG062358,2.54
Julius,REG062359,4.89
Hassie,REG062360,3.14
Loran,REG062361,2.12
Inda,REG062362,1.73
Lillar,REG062363,1.87
Clare,REG062364,2.22
Johnny,REG062365,4.93
Laurette,REG062366,2.00
Roland,REG062367,4.08
Leila,REG062368,4.81
Julia,REG062369,6.92
Goldia,REG062370,3.17
Everlena,REG062371,2.00
Nathanial,REG062372,1.87
Merle,REG062373,4.62
Ferd,REG062374,1.73
Lacy,REG062375,2.31
Rosalind,REG062376,2.84
Verlee,REG062377,1.73
Lincoln,REG062378,3.17
Marvel,REG062379,3.64
Dina,REG062380,2.12
Oris,REG062381,1.73
Sydney,REG062382,1.87
Noelie,REG062383,2.00
Marcia,REG062384,3.17
Casey,REG062385,1.73
Clifford,REG062386,5.39
Hollis,REG062387,2.39
Jones,REG062388,2.89
Claire,REG062389,1.73
Pheobe,REG062390,1.73
Odes,REG062391,1.73
Albertina,REG062392,2.00
Lovey,REG062393,1.73
Alcide,REG062394,1.87
Myrle,REG062395,2.47
Alvena,REG062396,3.06
Shirley,REG062397,5.68
Robena,REG062398,1.73
Harold,REG062399,1.87
Marlin,REG062400,2.22
Mozelle,REG062401,2.61
Arbutus,REG062402,2.61
Anastasia,REG062403,2.61
Merlin,REG062404,3.06
Judge,REG062405,2.61
Ana,REG062406,2.31
Lessie,REG062407,4.86
Katharine,REG062408,4.30
Maude,REG062409,6.67
Wilfred,REG062410,3.48
Dudley,REG062411,3.14
Chrystal,REG062412,2.12
Tyyne,REG062413,1.73
Rene,REG062414,2.47
Irwin,REG062415,2.47
Milda,REG062416,2.12
Marion,REG062417,4.84
Lavinia,REG062418,3.28
Clarissa,REG062419,3.79
Victoria,REG062420,5.77
Stacia,REG062421,1.87
Perfecto,REG062422,1.73
Dominic,REG062423,2.54
Cleta,REG062424,2.31
Hardin,REG062425,1.73
Katheryn,REG062426,2.31
Eular,REG062427,2.00
Eleanor,REG062428,6.09
Corine,REG062429,3.40
Tillman,REG062430,2.00
Loula,REG062431,1.87
Roberta,REG062432,4.16
Doshie,REG062433,2.00
Elihu,REG062434,2.00
Willard,REG062435,4.63
Minnie,REG062436,7.31
Lucius,REG062437,3.48
Opel,REG062438,1.87
Lizzie,REG062439,6.07
Oren,REG062440,2.78
Glennie,REG062441,2.61
Isadore,REG062442,2.12
Clothilde,REG062443,1.87
Johnnie,REG062444,5.38
Aleta,REG062445,1.87
Aimee,REG062446,2.67
Jessica,REG062447,2.31
Evelina,REG062448,2.98
Donna,REG062449,4.51
Ardelia,REG062450,2.39
Armand,REG062451,2.22
Adolph,REG062452,4.34
Ottis,REG062453,2.47
Alverna,REG062454,1.73
Ruthe,REG062455,2.47
Lloyd,REG062456,5.02
Barry,REG062457,1.73
Olen,REG062458,2.54
Bama,REG062459,1.87
Ardelia,REG062460,2.84
Merle,REG062461,3.53
Freddie,REG062462,2.93
Ardella,REG062463,3.14
Felicitas,REG062464,1.73
Billy,REG062465,1.73
Beatrice,REG062466,5.65
Rozella,REG062467,2.61
Ester,REG062468,3.48
Dollie,REG062469,4.88
Harland,REG062470,2.31
Ophelia,REG062471,4.44
Georgia,REG062472,6.83
Halbert,REG062473,2.22
Margareth,REG062474,1.73
Janette,REG062475,2.78
Ester,REG062476,3.50
Alexina,REG062477,1.87
Dicy,REG062478,1.73
Charity,REG062479,3.64
Williams,REG062480,2.67
Elvera,REG062481,3.31
Madelyn,REG062482,3.17
Alverda,REG062483,2.67
Charles,REG062484,8.27
Mildred,REG062485,7.87
West,REG062486,2.12
Wylie,REG062487,2.47
Brown,REG062488,2.22
Guadalupe,REG062489,2.00
Edgar,REG062490,5.57
Watson,REG062491,3.10
Allen,REG062492,1.73
Lorn,REG062493,1.73
Delia,REG062494,5.01
Godfrey,REG062495,2.22
Roxana,REG062496,1.73
Paulina,REG062497,2.47
Mintie,REG062498,2.00
Bridget,REG062499,3.42
Orla,REG062500,1.73
Shelby,REG062501,2.61
Princess,REG062502,2.31
Albert,REG062503,2.22
Claiborne,REG062504,1.73
Elenor,REG062505,2.31
Hebert,REG062506,2.00
Tina,REG062507,3.55
Dellie,REG062508,2.39
Celia,REG062509,5.34
Zena,REG062510,2.22
Dellia,REG062511,1.73
Alphia,REG062512,2.00
Tina,REG062513,3.94
Liddie,REG062514,2.67
Cloie,REG062515,1.73
Fannie,REG062516,1.87
Lottie,REG062517,6.14
Maureen,REG062518,2.39
Isabell,REG062519,3.81
Minnie,REG062520,2.31
Audie,REG062521,1.87
Harriette,REG062522,3.14
Emmie,REG062523,3.48
Thomas,REG062524,7.31
Therese,REG062525,2.78
Collins,REG062526,1.73
Neil,REG062527,3.73
Lyle,REG062528,3.89
Roby,REG062529,1.73
Buelah,REG062530,2.84
Maynard,REG062531,3.24
Indiana,REG062532,1.87
Morton,REG062533,2.61
Sarah,REG062534,7.08
Washington,REG062535,2.61
Vella,REG062536,2.47
Anabel,REG062537,2.00
Richmond,REG062538,2.54
Leotha,REG062539,1.73
Elisa,REG062540,2.73
Glenys,REG062541,1.73
Val,REG062542,2.00
Dale,REG062543,2.78
Stuart,REG062544,3.06
Clarinda,REG062545,2.12
Ota,REG062546,1.87
Jemima,REG062547,2.31
Clarence,REG062548,7.03
Cassie,REG062549,4.39
Isadore,REG062550,2.22
Clement,REG062551,3.21
Alferd,REG062552,1.73
Madelyn,REG062553,1.87
Hurshel,REG062554,1.73
Carie,REG062555,2.00
Ardell,REG062556,1.73
Georgiana,REG062557,3.17
Louvenia,REG062558,2.93
Venus,REG062559,2.54
Gertha,REG062560,2.61
Ila,REG062561,5.41
Lavonne,REG062562,3.34
Raleigh,REG062563,3.14
Ulysses,REG062564,3.53
Robert,REG062565,8.46
Savanah,REG062566,2.00
Nonie,REG062567,1.73
Adelina,REG062568,2.73
Edward,REG062569,7.43
Irena,REG062570,2.22
Zeb,REG062571,2.12
Gay,REG062572,2.73
Mannie,REG062573,2.00
Federico,REG062574,2.39
Bertrand,REG062575,2.00
Mathew,REG062576,3.84
Nonie,REG062577,2.39
Cleo,REG062578,3.21
Gladys,REG062579,3.58
Abie,REG062580,1.73
Teresa,REG062581,5.00
Pearly,REG062582,2.31
Ambrose,REG062583,3.42
Norene,REG062584,1.87
Lala,REG062585,2.22
Goldia,REG062586,2.61
Luna,REG062587,3.02
Danny,REG062588,2.22
Elie,REG062589,1.73
Rebie,REG062590,1.73
Terrell,REG062591,2.12
Harmon,REG062592,2.89
Manley,REG062593,2.22
Orlena,REG062594,1.73
Irene,REG062595,6.36
Ula,REG062596,2.73
Georgiana,REG062597,3.24
Lissie,REG062598,2.47
Elida,REG062599,2.12
Arden,REG062600,1.87
Echo,REG062601,1.73
Pasquale,REG062602,2.67
Orin,REG062603,2.93
Honor,REG062604,2.12
Bart,REG062605,2.61
Vannie,REG062606,1.73
Lonnie,REG062607,4.61
Emilio,REG062608,1.73
Addie,REG062609,1.73
Judson,REG062610,2.47
Fred,REG062611,2.22
Hildreth,REG062612,2.93
Errol,REG062613,1.73
Catherina,REG062614,1.73
Roy,REG062615,1.87
Marguerita,REG062616,2.12
Reuel,REG062617,1.73
Albin,REG062618,3.06
Zollie,REG062619,1.87
Archie,REG062620,5.24
Isom,REG062621,2.89
Ottie,REG062622,2.89
Cliff,REG062623,3.10
Merl,REG062624,1.73
Stella,REG062625,1.73
Elizabeth,REG062626,7.29
Oran,REG062627,1.87
Alline,REG062628,2.00
Felipa,REG062629,1.87
Finis,REG062630,2.12
Olen,REG062631,2.22
Vianna,REG062632,1.73
Carl,REG062633,1.87
Agda,REG062634,2.00
Pearl,REG062635,7.32
Donnie,REG062636,2.12
Corina,REG062637,2.54
Manuel,REG062638,4.45
Edwin,REG062639,1.73
Pete,REG062640,4.26
Mason,REG062641,3.02
Delila,REG062642,1.73
Clarabell,REG062643,2.22
Isadora,REG062644,1.87
Ransom,REG062645,2.61
Amie,REG062646,2.93
Myer,REG062647,2.00
Tolbert,REG062648,2.00
Philander,REG062649,2.00
Valerie,REG062650,2.89
Aimee,REG062651,2.61
Leah,REG062652,4.27
Dona,REG062653,3.71
Violet,REG062654,5.45
Wilhelmina,REG062655,4.49
Linda,REG062656,4.27
Edythe,REG062657,4.85
Malcolm,REG062658,3.42
Neita,REG062659,2.22
Aileen,REG062660,2.00
Melinda,REG062661,2.54
Josefa,REG062662,2.93
Josiah,REG062663,3.10
Ray,REG062664,5.74
Cleda,REG062665,2.67
Nobie,REG062666,2.78
Lucien,REG062667,2.31
Vertie,REG062668,3.02
Merlin,REG062669,2.98
Christie,REG062670,2.12
Mearl,REG062671,1.73
Elgie,REG062672,2.22
Clarke,REG062673,1.73
Mabry,REG062674,1.87
Juel,REG062675,1.87
Lenord,REG062676,2.31
Regina,REG062677,4.09
Josiah,REG062678,3.02
Winifred,REG062679,4.27
Roy,REG062680,2.39
Norton,REG062681,1.73
Sally,REG062682,5.67
Missie,REG062683,2.00
Emanuel,REG062684,3.91
Novella,REG062685,2.89
Ivalee,REG062686,2.00
Matthew,REG062687,4.70
Obie,REG062688,2.78
Amy,REG062689,5.59
Onie,REG062690,3.10
Concetta,REG062691,3.37
Clemma,REG062692,1.73
Phylis,REG062693,1.87
Bernice,REG062694,6.02
Della,REG062695,1.87
Eileen,REG062696,4.24
Smith,REG062697,2.73
Broadus,REG062698,1.87
Emmet,REG062699,3.34
Loyce,REG062700,2.00
Sydney,REG062701,2.98
Bradford,REG062702,1.73
Mima,REG062703,2.00
Annice,REG062704,2.31
Cordia,REG062705,2.89
Raymond,REG062706,5.25
Sabina,REG062707,2.61
Mckinley,REG062708,3.21
Taft,REG062709,2.73
Sigurd,REG062710,1.73
Sarah,REG062711,7.40
Arline,REG062712,2.12
Ellamae,REG062713,2.61
Jeanetta,REG062714,2.00
Alta,REG062715,4.61
Alois,REG062716,2.47
Richmond,REG062717,2.73
Shellie,REG062718,1.73
Cleo,REG062719,5.31
Madora,REG062720,1.87
Dorotha,REG062721,1.73
Lucie,REG062722,3.17
Vennie,REG062723,2.54
Henrietta,REG062724,5.57
Arta,REG062725,2.12
Juan,REG062726,4.32
Liza,REG062727,3.58
Aaron,REG062728,4.39
Christie,REG062729,1.73
Kelly,REG062730,2.78
Royal,REG062731,3.34
Gerry,REG062732,2.00
Octavie,REG062733,1.73
Pia,REG062734,1.73
Jane,REG062735,1.73
Bobbie,REG062736,2.22
Angus,REG062737,2.22
Lyle,REG062738,2.00
Girtha,REG062739,2.00
Antoinetta,REG062740,2.00
Chancy,REG062741,1.73
Reuben,REG062742,4.22
Valeda,REG062743,2.00
Cleopatra,REG062744,2.78
Lona,REG062745,3.55
Rube,REG062746,2.31
Lorraine,REG062747,4.61
Leita,REG062748,2.00
Alex,REG062749,4.72
Bettie,REG062750,4.60
Dewey,REG062751,1.87
Berna,REG062752,1.87
Roosevelt,REG062753,2.00
Birtie,REG062754,2.54
Zena,REG062755,2.47
Allen,REG062756,5.14
Josephine,REG062757,6.99
Sigurd,REG062758,2.00
Katharyn,REG062759,1.87
Rosena,REG062760,2.39
Arminta,REG062761,2.00
Little,REG062762,1.73
Rosey,REG062763,1.87
Thelma,REG062764,2.47
Tressa,REG062765,2.93
Prentiss,REG062766,1.73
Dewey,REG062767,4.38
Quincy,REG062768,2.31
Earnest,REG062769,5.44
Donie,REG062770,3.02
Malcom,REG062771,2.12
Delila,REG062772,2.47
Arrena,REG062773,1.87
Caleb,REG062774,2.54
Annice,REG062775,2.78
Philip,REG062776,4.91
Nealy,REG062777,1.73
Ermine,REG062778,1.87
Merle,REG062779,4.54
Merlin,REG062780,2.61
Nellie,REG062781,1.87
Everet,REG062782,1.87
Eugenie,REG062783,2.00
Albertus,REG062784,1.73
Ramon,REG062785,4.29
Lavern,REG062786,1.73
Oral,REG062787,1.73
Orie,REG062788,1.73
Sophie,REG062789,5.61
Olivia,REG062790,4.70
Everett,REG062791,4.83
Nat,REG062792,1.87
Glady,REG062793,2.00
Jovita,REG062794,2.12
Tennie,REG062795,3.60
Ressie,REG062796,2.54
Elvina,REG062797,2.00
Vina,REG062798,3.06
Jewel,REG062799,5.55
Nathaniel,REG062800,4.13
Flo,REG062801,2.93
Lavada,REG062802,2.22
Fermon,REG062803,1.87
Benjaman,REG062804,2.31
Vadie,REG062805,2.12
Milo,REG062806,3.31
Arden,REG062807,1.73
Evangeline,REG062808,3.10
Fernando,REG062809,1.73
Archibald,REG062810,2.67
Lou,REG062811,4.79
Margurite,REG062812,2.12
Lady,REG062813,2.00
Grant,REG062814,3.89
Marian,REG062815,5.61
Elise,REG062816,3.37
Floyd,REG062817,5.84
Delbert,REG062818,3.40
Broadus,REG062819,1.73
Lona,REG062820,3.60
Ethelyn,REG062821,3.88
Keturah,REG062822,1.73
Vinie,REG062823,1.87
Arther,REG062824,2.78
Jonathan,REG062825,2.22
Chester,REG062826,2.22
Link,REG062827,1.87
Luellar,REG062828,1.73
Larue,REG062829,2.22
Maggie,REG062830,1.73
Arthur,REG062831,7.16
Lenard,REG062832,2.22
Ocie,REG062833,3.02
Maxine,REG062834,3.17
Herman,REG062835,6.50
Gail,REG062836,3.28
Malvina,REG062837,3.21
Madelene,REG062838,2.54
Burnice,REG062839,1.87
Eular,REG062840,2.12
Zillah,REG062841,2.00
Orrin,REG062842,2.31
Edd,REG062843,3.96
Graydon,REG062844,2.39
Permelia,REG062845,2.22
Benjamin,REG062846,5.97
Lula,REG062847,6.76
Easter,REG062848,3.58
Lovie,REG062849,1.73
Zoe,REG062850,3.14
Byrd,REG062851,2.22
Suzanne,REG062852,1.87
Cleora,REG062853,2.00
Gerard,REG062854,4.33
Maude,REG062855,6.88
Grover,REG062856,3.77
Katharine,REG062857,4.67
Altha,REG062858,3.28
Electa,REG062859,2.39
Rosalia,REG062860,2.12
Maudie,REG062861,4.58
Sydney,REG062862,2.12
Ada,REG062863,6.63
Ozella,REG062864,2.47
Vincenza,REG062865,2.47
Bradley,REG062866,2.84
Maddie,REG062867,1.87
Aldo,REG062868,1.87
Finis,REG062869,2.61
Jeffie,REG062870,2.67
Isabell,REG062871,3.84
Almer,REG062872,2.00
Grady,REG062873,2.00
Exilda,REG062874,2.00
Lana,REG062875,2.12
Clement,REG062876,3.02
Lavina,REG062877,2.93
Iris,REG062878,2.93
Beatrix,REG062879,1.87
Mervin,REG062880,2.67
Lucinda,REG062881,4.31
Mathis,REG062882,2.00
Sylvia,REG062883,5.62
Elias,REG062884,3.75
Theodore,REG062885,6.29
Metta,REG062886,2.47
Clemie,REG062887,2.00
Susanna,REG062888,3.97
Minnetta,REG062889,1.73
Noel,REG062890,3.40
Louise,REG062891,7.35
Esta,REG062892,3.60
Dick,REG062893,2.84
Leland,REG062894,2.22
Hope,REG062895,3.73
Antonio,REG062896,4.08
Omar,REG062897,2.67
Louis,REG062898,6.54
Alyce,REG062899,2.31
Agnes,REG062900,7.31
Evelyn,REG062901,8.01
Vivien,REG062902,2.47
Vernon,REG062903,4.70
Irean,REG062904,2.12
Dollie,REG062905,4.82
Marian,REG062906,5.79
Leaner,REG062907,1.73
Lawrence,REG062908,5.84
Evans,REG062909,2.84
Rollin,REG062910,2.22
Colletta,REG062911,1.73
Harriette,REG062912,3.45
Mellie,REG062913,3.10
Armand,REG062914,2.61
Earnestine,REG062915,2.54
Jessee,REG062916,1.73
Signe,REG062917,3.24
Lilia,REG062918,1.87
Hulda,REG062919,4.76
Marcella,REG062920,3.21
Author,REG062921,1.87
Ras,REG062922,1.73
Lexie,REG062923,2.84
Leota,REG062924,3.81
Tinnie,REG062925,1.87
Lucas,REG062926,2.00
Lakie,REG062927,1.73
Lucillie,REG062928,1.73
Katy,REG062929,1.87
Burr,REG062930,2.39
Lorenza,REG062931,2.22
Evelina,REG062932,2.22
Roselyn,REG062933,2.47
Maye,REG062934,2.54
Minnie,REG062935,7.49
Sarah,REG062936,7.16
Texie,REG062937,2.54
Elda,REG062938,2.98
Lavera,REG062939,2.39
Theron,REG062940,2.12
Dwight,REG062941,3.93
Glendora,REG062942,2.39
Narcissa,REG062943,1.73
Marshall,REG062944,4.39
Unknown,REG062945,2.00
Bama,REG062946,2.31
Solomon,REG062947,3.73
Zelpha,REG062948,2.12
Richmond,REG062949,2.84
Rudy,REG062950,2.39
Olga,REG062951,5.73
Astrid,REG062952,3.55
Roland,REG062953,4.42
Henry,REG062954,7.57
Armeda,REG062955,1.87
Hellen,REG062956,3.40
Orie,REG062957,2.22
Euphemia,REG062958,1.73
Pansy,REG062959,4.01
Stephany,REG062960,1.87
Paralee,REG062961,2.61
Val,REG062962,2.31
Mark,REG062963,2.00
Bud,REG062964,3.40
Luvenia,REG062965,3.73
Hope,REG062966,3.40
Kenneth,REG062967,4.46
Minnette,REG062968,2.00
Geraldine,REG062969,2.00
Elridge,REG062970,1.73
Otho,REG062971,2.67
Joy,REG062972,1.87
Elois,REG062973,1.73
Pattie,REG062974,3.10
Martha,REG062975,7.36
Myles,REG062976,1.87
Bernarda,REG062977,1.87
Beverly,REG062978,3.89
Laurena,REG062979,1.73
Celie,REG062980,1.73
Sebastian,REG062981,1.73
